ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subbranch,Subsubbranch,EarlyTimeBP,LateTimeBP,AvTimeBP,Source
gheg1238,Gheg Albanian,,42.317,21.3837,gheg1238,,Albanian,Gheg,,0,0,0,orel_concise_2000
tosk1239,Tosk Albanian,,41,20,tosk1239,,Albanian,Tosk,,0,0,0,newmark_standard_1982
hitt1242,Hittite,,39.31,33.96,hitt1242,,Anatolian,,,3715,3215,3465,hoffner_grammar_2008
cune1239,Cuneiform Luwian,,38.4,36.98,cune1239,,Anatolian,Luvic,,3665,3215,3440,melchert_language_2003
hier1240,Hieroglyphic Luwian,,38.4,36.98,hier1240,,Anatolian,Luvic,,3115,2715,2915,melchert_language_2003;payne_hieroglyphic_2004
clas1249,Classical Armenian,,42,42,clas1249,,Armenian,,,1615,215,915,jensen_altarmenische_1959;kolligan_armenian_2006;godel_introduction_1975
nucl1235,Eastern Armenian,,40,45,nucl1235,,Armenian,Eastern-Western Armenian,,0,0,0,dum-tragut_armenian_2009
prus1238,Old Prussian,,52.39,14.76,prus1238,,Balto-Slavic,Baltic,,646,315,481,schmalstieg_old_1974
oldl1240,Old Lithuanian,,56,25,oldl1240,,Balto-Slavic,Baltic,Eastern Baltic,515,315,415,ambrazas_lithuanian_1997
lith1251,Lithuanian,,55.1429,23.9601,lith1251,,Balto-Slavic,Baltic,Eastern Baltic,0,0,0,ambrazas_lithuanian_1997
latv1249,Latvian,,56.826108,24.309118,latv1249,,Balto-Slavic,Baltic,Eastern Baltic,0,0,0,praulins_latvian_2012
oldr1238,Old East Slavic,,60,49,oldr1238,,Balto-Slavic,Slavic,East Slavic,1115,515,815,ickler_topicalization_1977;schmalstieg_introduction_1995
russ1263,Russian,,59,50,russ1263,,Balto-Slavic,Slavic,East Slavic,0,0,0,timberlake_reference_2004;wade_comprehensive_2011
chur1257,Old Church Slavic,,43.7171,22.8442,chur1257,,Balto-Slavic,Slavic,South Slavic,1215,915,1065,lunt_old_2001
bulg1262,Bulgarian,,43.3646,25.047,bulg1262,,Balto-Slavic,Slavic,South Slavic,0,0,0,krapova_bulgarian_2010;rudin_bulgarian_2009
sout1528,Serbian-Croatian-Bosnian,,44.3238,21.9192,sout1528,,Balto-Slavic,Slavic,South Slavic,0,0,0,alexander_bosnian_2006;browne_handbook_2004
slov1268,Slovenian,,46.2543,14.7766,slov1268,,Balto-Slavic,Slavic,South Slavic,0,0,0,herrity_slovene_2015;lencek_structure_1982;sonnenhauser_relative_2013
czec1258,Czech,,49.873398,15.10437,czec1258,,Balto-Slavic,Slavic,West Slavic,0,0,0,janda_czech_2004
poli1260,Polish,,51.8439,18.6255,poli1260,,Balto-Slavic,Slavic,West Slavic,0,0,0,swan_grammar_2002
uppe1395,Upper Sorbian,,51.2403,14.4098,uppe1395,,Balto-Slavic,Slavic,West Slavic,0,0,0,stone_sorbian_1993;schuster-sewc_grammar_1996
tran1282,Transalpine Gaulish,,2.52,,tran1282,,Celtic,,,2315,1515,1915,eska_syntax_2003
